Parameter;Results;Time;Results;Time;Results;Time;Results;Time;Results;Time;;;Mean results;Mean time
2;31;124897;37;143041;33;132916;36;151949;36;133299;;;34,6;137220,4
4;28;140497;24;181776;21;139053;26;145155;33;120206;;;26,4;145337,4
6;31;136275;18;147341;26;137430;21;154529;26;139790;;;24,4;143073
8;29;135346;28;147131;29;157535;17;157815;19;135255;;;24,4;146616,4
10;32;136478;27;143456;27;165902;35;152110;33;138349;;;30,8;147259
12;23;134447;25;148286;28;145195;26;150270;26;142415;;;25,6;144122,6
14;30;137597;34;151393;23;141873;24;155641;28;137692;;;27,8;144839,2
16;13;137690;16;147105;29;143300;25;160159;24;138836;;;21,4;145418
18;30;160796;31;148738;20;145595;23;153751;26;134741;;;26;148724,2
20;27;176763;32;150964;29;159367;20;154706;30;140903;;;27,6;156540,6
22;30;198595;26;148960;21;157505;21;149929;27;138056;;;25;158609
24;25;185475;23;149843;27;156653;25;140950;33;139732;;;26,6;154530,6
26;28;181816;21;148163;35;156062;30;151748;24;139946;;;27,6;155547
28;36;179786;26;151350;35;161012;34;147349;27;143076;;;31,6;156514,6
30;20;180136;26;151615;30;159738;27;147977;28;163837;;;26,2;160660,6
